Employyes by division,,,,
timeline,Technical(permanent) Map-Led (turquoise),Technical(Non-permanent) Map-Led (dark Blue),Technical(permanent) IoT-Led (Turquoise),Technical(Non-permanent) IoT-Led (dark blue)
FY22,472,218,109,137
FY23,448,342,212,168
